"","yearmon","nombre.Agencia","Total"
"467",2012-10-01,"OFIC. HIDROSOGAMOSO",5400.87
"468",2012-11-01,"OFIC. HIDROSOGAMOSO",6180.36
"469",2012-12-01,"OFIC. HIDROSOGAMOSO",815
"470",2013-01-01,"OFIC. HIDROSOGAMOSO",4525.234
"471",2013-02-01,"OFIC. HIDROSOGAMOSO",6995.18
"472",2013-03-01,"OFIC. HIDROSOGAMOSO",5502.42
"473",2013-04-01,"OFIC. HIDROSOGAMOSO",6969.99
"474",2013-05-01,"OFIC. HIDROSOGAMOSO",4830.312
"475",2013-06-01,"OFIC. HIDROSOGAMOSO",3563.066
"476",2013-07-01,"OFIC. HIDROSOGAMOSO",3675.174
"477",2013-08-01,"OFIC. HIDROSOGAMOSO",2258.89
"478",2013-09-01,"OFIC. HIDROSOGAMOSO",4449.294
"479",2013-02-01,"VALLEDUPAR",887.518
"480",2013-03-01,"VALLEDUPAR",2791.284
"481",2013-04-01,"VALLEDUPAR",153.5
"482",2013-05-01,"VALLEDUPAR",2240.054
"483",2013-06-01,"VALLEDUPAR",1611.024
"484",2013-07-01,"VALLEDUPAR",2176.53
"485",2013-08-01,"VALLEDUPAR",3274.992
"486",2013-09-01,"VALLEDUPAR",2282.162
"487",2013-10-01,"VALLEDUPAR",3380.596
"488",2013-11-01,"VALLEDUPAR",1964.03
"489",2013-12-01,"VALLEDUPAR",4213.758
"490",2014-01-01,"VALLEDUPAR",3308.114
"491",2014-02-01,"VALLEDUPAR",3808.626
"492",2014-03-01,"VALLEDUPAR",2629.084
"493",2014-04-01,"VALLEDUPAR",3537.572
"494",2014-05-01,"VALLEDUPAR",3580.686
"495",2014-06-01,"VALLEDUPAR",3380.65
"496",2014-07-01,"VALLEDUPAR",3746.596
"497",2014-08-01,"VALLEDUPAR",4338.096
"498",2014-09-01,"VALLEDUPAR",5529.698
"499",2014-10-01,"VALLEDUPAR",5078.662
"500",2014-11-01,"VALLEDUPAR",3445.144
"501",2014-12-01,"VALLEDUPAR",5291.692
"502",2015-01-01,"VALLEDUPAR",4905.506
"503",2015-02-01,"VALLEDUPAR",6043.654
"504",2015-03-01,"VALLEDUPAR",4974.414
"505",2011-01-01,"VILLAVICENCIO",16485.804
